;AAPL;MSFT;GOOGL
Ticker;AAPL;MSFT;GOOGL
Date;;;
2023/03/01;113.80794245599549;115.4343753246919;104.69663384178784
2023/03/02;114.27786773431856;117.70304248838401;106.59683309610043
2023/03/03;118.28787902806278;119.66233136528271;108.50862869173173
2023/03/06;120.48085962661305;120.40291871811183;110.22344655714053
2023/03/07;118.73431651308037;119.12797189922657;108.75195621563006
2023/03/08;119.72897192077268;118.91704110667757;109.20383113237028
2023/03/09;117.9432703841918;118.27020563364363;106.96761365970751
2023/03/10;116.30636117449615;116.52183296664036;105.00946827040036
2023/03/13;117.8492950092251;119.02016963271764;105.56562133001141
2023/03/14;119.50970411309862;122.24036223311465;108.87940036243901
2023/03/15;119.82298359835654;124.41994396615365;111.35894535900015
2023/03/16;122.0629518843902;129.46351511218617;116.2369054273901
2023/03/17;121.39724659169853;130.9775153710283;117.74316700705722
2023/03/20;123.27692350324612;127.6026664382051;117.27969574899826
2023/03/21;124.74936975631383;128.32917423901333;121.56674041252028
2023/03/22;123.61370288268192;127.63075262897901;119.77081040817876
2023/03/23;124.47523659323171;130.14784987887282;122.35462465471095
2023/03/24;125.50905042397223;131.51183838045048;122.16925215870695
2023/03/27;123.96614079098805;129.5478757630829;118.71642374525186
2023/03/28;123.4727156184871;129.00881339125075;117.05955201483762
2023/03/29;125.91635368768641;131.48375218967658;117.47666458632098
2023/03/30;127.16165446515535;133.14302484337318;116.897336629872
2023/03/31;129.15097738141236;135.13513198212897;120.18794076546169
2023/04/03;130.14564488997706;134.63360536058343;120.91789665845734
2023/04/04;129.72274360175447;134.61015645364446;121.3350092299407
2023/04/05;128.25811451224953;133.2789351746364;121.04534969816609
2023/04/06;128.96301453060656;136.6819577941549;125.6220450005629
2023/04/10;126.90319193181594;135.64607899788004;123.32790807160492
2023/04/11;125.93982938011949;132.57115150101075;122.06496512293634
2023/04/12;125.3916114574448;132.88053707913093;121.24230964258902
2023/04/13;129.66790244809118;135.8569879164487;124.4749854289837
2023/04/14;129.39378138588145;134.12268751013949;126.14345350071667
2023/04/17;129.40942781387938;135.36951897294372;122.7833424604128
2023/04/18;130.38063173088338;135.1679137873521;121.08009425762339
2023/04/19;131.28914102804416;135.20544953763874;120.70933147981589
2023/04/20;130.52158269246107;134.10860066679186;121.99544932532238
2023/04/21;129.24496485725146;133.94458956210113;122.13448981345007
2023/04/24;129.48775676084816;132.07432049391448;122.7833424604128
2023/04/25;128.2659558775571;129.09789882190387;120.32697236068961
2023/04/26;128.25811451224953;138.4490545883408;120.16475697572398
2023/04/27;131.9000293688173;142.8832749723385;124.6603579249877
2023/04/28;132.894696877382;144.0222677119999;124.37069839321309
2023/05/01;132.82420929572078;143.2254277730283;124.20848300824746
2023/05/02;132.00184610909153;143.1551102175185;122.03020277767946
2023/05/03;131.1481537638493;142.68171353470763;122.13448981345007
2023/05/04;129.8480360344618;143.1551102175185;121.30025577758359
2023/05/05;135.9413940229193;145.61125197549384;122.31987120235384
2023/05/08;135.88656497012838;144.67382067346338;124.86891421072937
2023/05/09;134.5316302888224;143.90041505877718;124.38228584163204
2023/05/10;135.93356475848412;146.38936778728285;129.4803985370824
2023/05/11;136.0823933879865;145.35815544015006;135.0651396016301
2023/05/12;135.34515983860825;144.82378868276712;136.15429750271366
2023/05/15;134.9529826653793;145.05349464178622;134.99562380401613
2023/05/16;134.9529826653793;146.1221698259378;138.4716004356098
2023/05/17;135.43925622229884;147.50327836280547;140.0126332534336
2023/05/18;137.29019356192447;149.6265710530681;142.3183754166101
2023/05/19;137.37646068117988;149.54199166236782;142.2372632776774
2023/05/22;136.6235323003141;150.87611488943617;144.89059332182356
2023/05/23;134.55301253033235;148.09517368851817;142.00552320219805
2023/05/24;134.77261916243327;147.43280039810645;140.08215794394735
2023/05/25;135.67455768588727;153.10275484554236;143.0715062064437
2023/05/26;137.5882017462285;156.37693972077864;144.3807900558883
2023/05/30;139.05483958054987;155.58775567493078;143.29163215480477
2023/05/31;139.0156448548845;154.2630674247216;142.36471631738615
2023/06/01;141.24300403188968;156.23131734223847;143.34957828979933
2023/06/02;141.91749455793516;157.5560347577548;144.4502969606025
2023/06/05;140.84300969509795;157.80970001658775;146.00290833394547
2023/06/06;140.55284287610147;156.74805367145646;147.5091699136126
2023/06/07;139.46265108090438;151.90957296521853;141.93600740458407
2023/06/08;141.61945007101397;152.79271304801156;141.51889483310072
2023/06/09;141.9253601249875;153.51144829446753;141.62317297597156
2023/06/12;144.14487793668508;155.88839166090955;143.25688759534745
2023/06/13;143.7684197966884;157.03461739674114;143.47702243660828
2023/06/14;144.27037608422305;158.4673631098967;143.29163215480477
2023/06/15;145.88601196026025;163.52194415937382;144.9369431154994
2023/06/16;145.03112162865156;160.8114225925406;143.12942566273892
2023/06/20;145.10170601729192;158.80088297967362;142.63120095232284
2023/06/21;144.2782174495306;156.69169171541222;139.6766150350834
2023/06/22;146.66246443704867;159.5806903792766;142.68912930151785
2023/06/23;146.41145604110037;157.37755766072362;141.75061712278054
2023/06/26;145.30561781790533;154.36168991080885;137.11597568538915
2023/06/27;147.4938185718623;157.16615293193362;137.10439712986994
2023/06/28;148.42712255654646;157.7674249038912;139.24790612228128
2023/06/29;148.6937894813651;157.39161533876415;137.99655062203166
2023/06/30;152.12897303405296;159.97057220509774;138.69174416977043
2023/07/03;150.94468485516526;158.77270929297828;138.9234931381496
2023/07/05;150.05845326407118;158.8478537068194;141.0670110234607
2023/07/06;150.43491140406786;160.31349788642666;139.16681176914815
2023/07/07;149.54865561122898;158.4109865711989;138.43686476905228
2023/07/10;147.92516626901184;155.87901501466467;134.92610800640216
2023/07/11;147.5095013024774;156.17963641798988;135.725570804112
2023/07/12;148.83494615777335;158.40160992495402;137.7995906776087
2023/07/13;149.43884019430612;160.9664507826328;144.2996779169556
2023/07/14;149.55649697653652;162.17842970340706;145.31929334172585
2023/07/17;152.14465576466804;162.4086314726475;144.42713984956416
2023/07/18;151.9407318631822;168.8724655803805;143.39592808347516
2023/07/19;153.0152288268918;166.8008392317129;141.3914240075924
2023/07/20;151.47014103687778;162.94412109435524;138.11242510622122
2023/07/21;150.53686125393838;161.48789730895356;139.06252473337753
2023/07/24;151.17214495344612;162.1173721329136;140.81211383694298
2023/07/25;151.8544768447992;164.8748644268926;141.59998918623387
2023/07/26;152.54465010145978;158.6693474444811;149.78014083863246
2023/07/27;151.54076172813527;155.3575684883439;149.93075098937956
2023/07/28;153.5877695030668;158.95117180735585;153.61531058541428
2023/07/31;154.07400675736915;157.80032337034288;153.7775170774801
2023/08/01;153.41521106281115;157.99759750782448;152.42188343435964
2023/08/02;151.0388296423454;153.84495358159086;148.74893796544328
2023/08/03;149.9329430156608;153.45037614132048;148.83002342567661
2023/08/04;142.7331659621337;153.9765036994369;148.43609464393097
2023/08/07;140.27048111979536;155.07103392836638;152.39872632332128
2023/08/08;141.0155560344812;153.1638124160358;152.24808060097504
2023/08/09;139.75286630339042;151.369373146408;150.23202464827247
2023/08/10;139.58028366138998;151.69818281908215;150.26679588642912
2023/08/11;139.6274286602144;150.79624569583865;150.1161323782833
2023/08/14;140.93896961313632;152.21960018009577;152.1669951407417
2023/08/15;139.36041081009654;151.19554791586538;150.3710562435004
2023/08/16;138.66931788713444;150.82835669899762;149.11970074325077
2023/08/17;136.65095287714578;149.17132977395065;150.53326273556624
2023/08/18;137.0357848208351;148.98303855106752;147.68295496119762
2023/08/21;138.09599065425425;151.5251013038715;148.73733273122474
2023/08/22;139.18763455413793;151.79810316133702;149.56000599737163
2023/08/23;142.24263289813354;153.93532228575805;153.3720008473155
2023/08/24;138.52008992884325;150.62594946745972;150.3710562435004
2023/08/25;140.27141288696927;152.04290216680002;150.48693072768998
2023/08/28;141.5122968460165;152.38184678370462;151.7962145771346
2023/08/29;144.5986848529871;154.59908092825881;155.92107942729015
2023/08/30;147.37097051537737;154.77796633958988;157.4389017766769
2023/08/31;147.543746771336;154.29310769107377;157.77489331632773
2023/09/01;148.7924720956908;154.7167775252143;157.18399569725935
2023/09/05;148.9809552840093;157.01872230435092;157.31144873696812
2023/09/06;143.64842754608708;156.70334325561385;155.79359081598224
2023/09/07;139.44679893807583;155.30521676203114;156.72051554630062
2023/09/08;139.93370174035957;157.35765233860192;158.01822084022606
2023/09/11;140.86042285046457;159.08533222019076;158.64390748325064
2023/09/12;138.4572743002761;156.18078844762184;156.81321513365228
2023/09/13;136.81588776779685;158.20031097508735;158.40057995935234
2023/09/14;138.01746809332724;159.44311762550652;160.0111196818903
2023/09/15;137.44415296131945;155.4511307936427;159.20005164996195
2023/09/18;139.7687910514533;154.90506874809742;160.13859050739862
2023/09/19;140.63268443211877;154.7120381628044;159.94161277717615
2023/09/20;137.82113143882881;151.00253191322594;154.95936567301553
2023/09/21;136.59596651301382;150.41881745616544;151.13577448175292
2023/09/22;137.27137670536084;149.23251858832623;150.9156396404921
2023/09/25;138.28447384257274;149.48201320823847;151.9120890613242
2023/09/26;135.04884577643855;146.9399942033952;148.96909059250368
2023/09/27;133.84725335003574;147.24596744058024;151.25166675174205
